0	All right Director McLaren stepped out just a moment she will be back momentarily.
1	We will go ahead and start with, I am just going to read the action item number off the one that is in front of me.
2	It says it is one I guess it is actually two and that is the 2015-16 state legislative agenda.
3	This is coming out of the executive committee and if we could have it read into the record and seconded and then we can discuss.
4	I move that the school board adopt the 2015-16 legislative agenda as attached to the board action report.
5	I second.
6	Thank you for the second.
7	Alright so this came through the executive committee and we had previously approved, we had approved the previous version for approval, recommended for approval but it's been changed so it's for consideration but by the whole board and with that I'm going to ask Ken Gotch to please speak to the changes.
8	Ken Gotch assistant superintendent for business and finance.
9	Since the introduction of this item we received several suggestions from board members, members of the public and our lobbyists.
10	Essentially the modifications we made was to make sure that one of our three goals specifically addressed the district's capacity needs and the capital funding needs of the district.
11	In addition we added several items including enhancing or specifically referencing the goal of our district as including every student, every classroom, every day.
12	We were asked to make sure that we spell out fully funding McCleary as our very first goal.
13	We also added specific language that addresses fixing the levy cliff now, not waiting until next session.
14	We also requested the state to fund measures to reduce eliminate disproportionate suspension.
15	And we also added some language asking the state to reconsider how smarter balance is used in scores for high stakes purpose testing in the next two years.
16	Those are essentially the changes that were made from the last meeting.
17	Alright thank you for that.
18	So let's open it up to questions and I saw Director Blanford's hand first.
19	If I remember correctly when this was first put forward there was the idea that less is more and that a tight focus might result in more efficacy actually on the floor of the legislature or wherever it is that folks are making decisions.
20	And so I'm wondering given the laundry list that you just read, laundry list is the wrong word that sounds judgmental and I don't mean for it to.
21	But given the length of the additions do we lose something?
22	We are still staying within the three basic goal principle and I think the executive team felt that the clear statements on McCleary, emphasizing capital certainly made good sense.
23	And then I think it gave us an opportunity to include some of the board's recent actions and making sure that we were reflecting some of the priorities of the board and encompassed within those three overall goals.
24	So the recent board action on reducing disproportionate suspensions, we know there is a cost to that action.
25	gives us a chance to at least remind our legislators that they could help us in that area we certainly would appreciate it.
26	Director Peasley.
27	So it says Seattle has three priorities for this session but then it only lists two priorities.
28	The third priority is closing the opportunity gap.
29	Okay so it's outside of the box.
30	It's an outside of the box priority.
31	I'm sure we can fix the typesetting.
32	I know my version it's in the box.
33	So the levy, fixing the levy cliff was among the three priorities and now it's gotten bumped down and it's underneath fully funding McCleary.
